id	exit	tick	elapsed_sec	hints
add_custom	0	9905	24	[SUCCESS] output matches golden (Ascend910B4) [SUCCESS] add_custom (sim) 
shake128-toy	0	10468	15	[SUCCESS] AscendC vs inline Python shake_128 max_abs_diff=0 [verify] PASS [SUCCESS] pass-shake128-ops-math-toy (sim, case=abc) 
shake256-toy	0	10484	15	[SUCCESS] AscendC vs inline Python shake_256 max_abs_diff=0 [verify] PASS [SUCCESS] pass-shake256-ascendc-toy (sim, case=abc) 
multiplyntts-k4	0	9066	20	[verify] PASS [SUCCESS] pass-shake256-ascendc-toy (sim, case=abc) [SUCCESS] pass-fix-f203-alg11-12-multiplyntts-k4 (sim) 
innerproduct-k4	0	43991	36	[SUCCESS] pass-fix-f203-alg11-12-multiplyntts-k4 (sim) [OK] verify: t_hat[4,256] max_abs_diff=0 [SUCCESS] pass-fix-f203-alg11-12-innerproduct-k4 (sim) 
innerproduct-halfrows	0	26169	28	[SUCCESS] pass-fix-f203-alg11-12-innerproduct-k4 (sim) [OK] verify: t_hat[4,256] max_abs_diff=0 [SUCCESS] pass-fix-f203-alg11-12-innerproduct-k4-halfrows (sim) 
byteencode-prefetch	0	17407	26	[SUCCESS] sk_polyvec ByteEncode₁₂(ŝ) max_abs_diff=0 [verify] PASS [SUCCESS] pass-fix-f203-2s1e-byteencode12-vec-k4 encode-only (sim) 
byteencode-tile32	0	25500	29	[SUCCESS] sk_polyvec ByteEncode₁₂(ŝ) max_abs_diff=0 [verify] PASS [SUCCESS] pass-fix-f203-2s1e-byteencode12-vec-k4 encode-only (sim) 
toy-mix-k2	1	25500	81	[SUCCESS] sk_polyvec ByteEncode₁₂(ŝ) max_abs_diff=0 [verify] PASS [SUCCESS] pass-fix-f203-2s1e-byteencode12-vec-k4 encode-only (sim) 
2s1e-scalar-k4	0	166863	108	[SUCCESS] sk_polyvec ByteEncode₁₂(ŝ) max_abs_diff=0 [verify] PASS [SUCCESS] fix-f203-2s1e-alg13-16171820-k4 (sim) 
vec-k4-v2	0	77989	61	[SUCCESS] sk_polyvec ByteEncode₁₂(ŝ) max_abs_diff=0 [verify] PASS [SUCCESS] pass-fix-f203-2s1e-alg13-16171820-vec-k4-v2 (sim) 
exp-sepolyvec8-ntt	1	77989	38	[SUCCESS] sk_polyvec ByteEncode₁₂(ŝ) max_abs_diff=0 [verify] PASS [SUCCESS] pass-fix-f203-2s1e-alg13-16171820-vec-k4-v2 (sim) 
exp-2s1e-k4	0	77998	63	[SUCCESS] sk_polyvec ByteEncode₁₂(ŝ) max_abs_diff=0 [verify] PASS [SUCCESS] exp-mlkem-f203-alg13-16171820-2s1e-k4 (sim) 
exp-stage1-aiv1	0	8520	58	[SUCCESS] output matches golden (max_abs_diff=0, md5=05f98886e36b7d3e86416ca7ed1858a3) [SUCCESS] output matches golden (max_abs_diff=0, md5=05f98886e36b7d3e86416ca7ed1858a3) [SUCCESS] all profiles passed: aiv=1 aiv=2 aiv=8 
exp-stage3-aiv1	0	28781	202	test pass (max_abs_diff=0) test pass (max_abs_diff=0) [SUCCESS] all profiles passed: aiv=1 aiv=2 aiv=8 
